Game,Act Beg Bullet,Pred Beg Bullet,Act Beg Blitz,Pred Beg Blitz,Act Beg Rapid,Pred Beg Rapid,Act Int Bullet,Pred Int Bullet,Act Int Blitz,Pred Int Blitz,Act Int Rapid,Pred Int Rapid,Act Adv Bullet,Pred Adv Bullet,Act Adv Blitz,Pred Adv Blitz,Act Adv Rapid,Pred Adv Rapid,Act GM Bullet,Pred GM Bullet,Act GM Blitz,Pred GM Blitz,Act GM Rapid,Pred GM Rapid
1,1025,1200,1087,1150,1070,650,1504,1650,1485,1250,1527,1900,1993,2100,2117,2050,2085,2200,3105,2850,3084,2900,2838,2900
2,1021,1200,1090,1050,1071,800,1496,1200,1479,1250,1523,1950,1981,2150,1708,1750,1979,2100,3135,3050,3088,2950,2843,2850
3,1006,1250,1078,1100,1071,1250,1505,1300,1504,1300,1541,1700,2012,2100,1699,1950,1981,2000,3107,3050,3077,3000,2841,2750
4,1004,900,1087,850,1080,1250,1505,1100,1494,1300,1528,1200,2000,2250,2106,2250,1996,2550,3085,3350,3082,3200,2851,2850
5,981,1100,1096,1600,1089,900,1531,1100,1472,1300,1504,1400,1991,2100,2054,2050,1998,2000,3154,3100,3074,3050,2850,3050
6,1005,1050,1106,1250,1088,850,1536,1650,1395,1200,1561,1650,2005,1850,2080,2350,1994,1850,3116,3350,3065,2950,2854,2800
7,1006,1800,1113,1500,1102,950,1536,800,1463,1100,1563,1400,2012,2100,2053,2150,1981,1900,3172,3300,3059,3250,2852,2900
8,998,1100,1120,1900,1093,1350,1530,1000,1510,1700,1548,1000,2017,1950,2061,2200,1978,1800,3140,2950,3067,3150,2846,2850
9,994,700,1135,1250,1077,1450,1512,1150,1527,1400,1522,1500,2020,2050,2021,2300,1962,2050,3047,2800,3071,2800,2852,2900
10,972,500,1133,1550,1086,1150,1522,1650,1530,1150,1527,1800,2020,2150,2031,2350,1956,1900,3062,3000,3067,2800,2839,2900
11,958,800,1041,1100,1052,1000,1536,2150,1517,1550,1407,1400,2011,2000,2030,2150,1966,1600,3056,3250,3071,2950,2826,2950
12,944,950,1057,1200,1045,950,1508,1400,1521,1550,1514,1350,2019,2200,2050,2200,1977,2150,3020,3050,3075,2850,2827,2950
13,975,1250,1044,1300,1035,1800,1532,1600,1537,1750,1506,1700,2023,1750,2042,1900,1970,2050,3049,3000,3072,2950,2829,2750
14,982,800,1030,1000,1033,1500,1569,1100,1537,1400,1508,1600,2031,2250,1989,2300,2009,2300,3070,3000,3072,2950,2833,2800
15,991,950,1031,1150,1023,1050,1475,2200,1546,1350,1491,1500,2030,2000,1709,1700,1948,1950,3059,3000,3064,3000,2834,3050
16,992,1200,1059,1250,1027,1200,1537,2000,1537,1450,1501,2350,2008,2200,1866,1700,1953,1950,3090,3050,3064,3250,2839,2850
17,988,1000,1060,1250,1020,850,1573,1600,1482,1750,1531,1800,1983,1900,1857,2000,1954,2000,3078,3000,3060,2900,2835,2750
18,1005,1250,1047,1350,1033,1150,1568,1650,1495,1350,1531,1250,1989,1950,1822,1950,1947,1950,3006,3050,3068,2900,2835,2700
19,1050,750,1082,1200,1019,450,1528,2300,1521,1400,1539,1950,1995,2250,1828,2000,1941,2000,2937,2900,3066,2850,2835,2550
20,1052,1300,1023,900,1055,800,1535,1750,1573,1750,1532,1550,1987,2050,1843,2400,1957,1650,2866,2900,3075,3050,2847,2800
21,1041,850,1048,1350,1071,1050,1519,2000,1580,1800,1522,1350,1970,2350,1848,1950,1956,2050,2921,3000,3079,3100,2851,3050
22,1031,900,1038,1000,1086,1650,1504,1450,1571,1450,1476,1800,1983,1950,1861,2100,1952,2150,2957,2700,3079,3300,2851,2900
23,1014,750,1031,1850,1081,1250,1492,1550,1562,1400,1451,1300,1997,1800,1864,2150,1987,2100,3024,3150,3093,3000,2853,2900
24,1006,850,1125,1650,1087,1200,1498,1500,1532,1500,1483,1700,2007,2100,1840,1750,2016,2450,3044,3000,3100,3050,2843,2550
25,982,850,1119,1250,1103,950,1497,1750,1525,1500,1458,1050,1987,2100,1851,2000,2039,2450,3033,3000,3106,2950,2849,2950
26,998,1100,1134,1300,1110,800,1477,1250,1534,1450,1474,1700,1988,1900,1712,1900,2009,1950,3025,3050,3103,3000,2849,2850
27,1016,850,1116,1250,1101,800,1461,1200,1531,1450,1477,1400,2004,1750,1894,1950,1954,1850,2886,3250,3096,3250,2850,2950
28,1031,1350,1056,550,1109,950,1469,1750,1519,1300,1493,1850,1999,1500,1816,2250,1969,1900,2909,3100,3090,3450,2844,2700
29,1024,850,1071,800,1102,1000,1458,1450,1512,1500,1478,1250,2006,2000,1801,2050,1992,2150,2889,3000,3094,2800,2854,3100
30,1024,1250,1080,1400,1110,1550,1450,1250,1504,1650,1478,1450,1997,2200,1759,2050,1974,1950,2932,3150,3098,3000,2864,3000
