Game,Moves,Actual Rating,Predicted Rating,Diff,Abs Diff
1,15,1006,1800,-794,794
2,8,1050,1450,-400,400
3,14,1120,1900,-780,780
4,5,1031,1850,-819,819
5,9,1056,550,506,506
6,11,1070,750,320,320
7,15,1089,900,189,189
8,15,1035,1800,-765,765
9,7,1109,950,159,159
10,7,1103,950,153,153
11,14,1536,1650,-114,114
12,14,1504,1450,54,54
13,9,1523,1950,-427,427
14,8,1504,1400,104,104
15,6,1527,1800,-273,273
16,14,1506,1700,-194,194
17,13,1491,1600,-109,109
18,10,1458,1050,408,408
19,13,1478,1250,228,228
20,8,2012,2100,-88,88
21,13,1989,2000,-11,11
22,11,1970,2350,-380,380
23,13,2042,1900,142,142
24,14,1843,2400,-557,557
25,12,1969,1900,69,69
26,6,3090,3450,-360,360
27,14,2834,3050,-216,216
