Game,Abs Diff
1,175
2,179
3,244
4,104
5,119
6,45
7,100
8,102
9,294
10,100
11,158
12,6
13,275
14,182
15,41
16,208
17,12
18,245
19,300
20,248
21,191
22,131
23,264
24,156
25,132
26,102
27,166
28,319
29,174
30,226
31,63
32,40
33,22
34,237
35,504
36,144
37,387
38,780
39,115
40,417
41,59
42,143
43,256
44,30
45,119
46,191
47,190
48,303
49,118
50,123
51,302
52,38
53,819
54,525
55,131
56,166
57,134
58,506
59,271
60,320
61,420
62,271
63,179
64,170
65,189
66,238
67,152
68,257
69,373
70,64
71,52
72,95
73,765
74,467
75,27
76,173
77,170
78,117
79,569
80,255
81,21
82,564
83,169
84,113
85,153
86,310
87,301
88,159
89,102
90,440
91,255
92,85
93,57
94,265
95,54
96,234
97,128
98,190
99,247
100,62
101,194
102,30
103,49
104,70
105,59
106,40
107,78
108,44
109,37
110,34
111,79
112,257
113,126
114,44
115,33
116,25
117,364
118,191
119,111
120,218
121,184
122,138
123,77
124,118
125,24
126,115
127,191
128,83
129,271
130,267
131,121
132,225
133,122
134,122
135,64
136,186
137,160
138,168
139,216
140,25
141,21
142,221
143,93
144,50
145,156
146,103
147,154
148,450
149,294
150,98
151,62
152,7
153,91
154,1
155,200
156,54
157,48
158,4
159,48
160,61
161,124
162,123
163,79
164,33
165,216
166,11
167,85
168,135
169,285
170,47
171,199
172,49
173,47
174,293
175,101
176,1
177,100
178,144
179,246
180,136
181,146
182,296
183,205
184,405
185,431
186,114
187,736
188,530
189,362
190,128
191,614
192,108
193,68
194,469
195,725
196,463
197,27
198,82
199,772
200,215
201,481
202,54
203,58
204,2
205,253
206,227
207,261
208,281
209,8
210,200
211,235
212,229
213,204
214,194
215,172
216,195
217,363
218,190
219,127
220,380
221,33
222,29
223,213
224,137
225,196
226,87
227,268
228,145
229,121
230,177
231,220
232,121
233,162
234,32
235,25
236,84
237,81
238,219
239,12
240,146
241,373
242,427
243,159
244,328
245,104
246,89
247,163
248,548
249,22
250,273
251,7
252,164
253,194
254,92
255,9
256,849
257,269
258,281
259,411
260,18
261,172
262,324
263,151
264,217
265,408
266,226
267,77
268,357
269,228
270,28
271,107
272,169
273,88
274,250
275,109
276,155
277,88
278,67
279,30
280,130
281,11
282,181
283,273
284,219
285,30
286,192
287,83
288,39
289,255
290,63
291,380
292,33
293,197
294,93
295,113
296,88
297,254
298,499
299,6
300,203
301,67
302,42
303,251
304,144
305,4
306,270
307,97
308,139
309,279
310,319
311,120
312,150
313,142
314,311
315,9
316,166
317,143
318,128
319,172
320,557
321,102
322,239
323,286
324,90
325,149
326,188
327,56
328,434
329,249
330,291
331,115
332,121
333,19
334,554
335,2
336,144
337,81
338,178
339,88
340,56
341,366
342,173
343,80
344,291
345,2
346,3
347,46
348,3
349,59
350,307
351,94
352,198
353,113
354,434
355,411
356,59
357,104
358,69
359,158
360,24
